Sample_ID,Full,Type,Specific,Season,Site,Replicate,Water,Reseq_pairs,Culture_clade,Culture_genus,Sequenced_clade,Sequenced_genus,Match_expected,Heron_study,Symbiodinium_network,Durusdinium_network,Fugacium_network
181_ITS2Re,Sydney_2015_Sediment_site 1_c,Environment,Sediment,Summer,Site_1,C,Temperate,D,x,x,x,x,x,n,n,n,n
182_ITS2,Sydney_2015_Sediment_site 1_d,Environment,Sediment,Summer,Site_1,D,Temperate,E,x,x,x,x,x,n,n,n,n
182_ITS2Re,Sydney_2015_Sediment_site 1_d,Environment,Sediment,Summer,Site_1,D,Temperate,E,x,x,x,x,x,n,n,n,n
38_ITS2,Sydney_2015_Sediment_site 2_a,Environment,Sediment,Summer,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
184_ITS2,Sydney_2015_Sediment_site 2_c,Environment,Sediment,Summer,Site_2,C,Temperate,F,x,x,x,x,x,n,n,n,n
184_ITS2Re,Sydney_2015_Sediment_site 2_c,Environment,Sediment,Summer,Site_2,C,Temperate,F,x,x,x,x,x,n,n,n,n
185_ITS2,Sydney_2015_Sediment_site 2_d,Environment,Sediment,Summer,Site_2,D,Temperate,x,x,x,x,x,x,n,n,n,n
39_ITS2,Sydney_2015_Sediment_site 3_a,Environment,Sediment,Summer,Site_3,A,Temperate,x,x,x,x,x,x,n,n,n,n
186_ITS2,Sydney_2015_Sediment_site 3_b,Environment,Sediment,Summer,Site_3,B,Temperate,x,x,x,x,x,x,n,n,n,n
187_ITS2,Sydney_2015_Sediment_site 3_c,Environment,Sediment,Summer,Site_3,C,Temperate,x,x,x,x,x,x,n,n,n,n
188_ITS2,Sydney_2015_Sediment_site 3_d,Environment,Sediment,Summer,Site_3,D,Temperate,x,x,x,x,x,x,n,n,n,n
84_ITS2,Sydney_2015_Soft coral (Capnella)_site 1_a,Host,Capnella gaboensis,Summer,Site_1,A,Temperate,x,x,x,x,x,x,n,n,n,n
85_ITS2,Sydney_2015_Soft coral (Capnella)_site 1_b,Host,Capnella gaboensis,Summer,Site_1,B,Temperate,x,x,x,x,x,x,n,n,n,n
86_ITS2,Sydney_2015_Soft coral (Capnella)_site 1_c,Host,Capnella gaboensis,Summer,Site_1,C,Temperate,x,x,x,x,x,x,n,n,n,n
87_ITS2,Sydney_2015_Soft coral (Capnella)_site 1_d,Host,Capnella gaboensis,Summer,Site_1,D,Temperate,x,x,x,x,x,x,n,n,n,n
4_ITS2,Sydney_2015_Soft coral (Capnella)_site 2_a,Host,Capnella gaboensis,Summer,Site_2,A,Temperate,x,x,x,x,x,x,n,n,n,n
